iter	Passed	Remaining
0	63	31521
1	66	16643
2	70	11632
3	73	9124
4	76	7608
5	80	6599
6	83	5898
7	87	5359
8	90	4925
9	93	4561
10	96	4273
11	99	4030
12	102	3835
13	106	3685
14	109	3544
15	112	3409
16	115	3289
17	118	3173
18	121	3087
19	125	3014
20	128	2935
21	131	2866
22	135	2805
23	138	2741
24	141	2682
25	144	2631
26	147	2576
27	150	2531
28	153	2488
29	156	2445
30	158	2404
31	162	2370
32	165	2335
33	167	2299
34	170	2270
35	173	2241
36	177	2216
37	180	2191
38	183	2164
39	185	2138
40	189	2117
41	192	2100
42	195	2078
43	198	2058
44	201	2037
45	204	2018
46	207	1999
47	210	1983
48	213	1965
49	216	1950
50	219	1935
51	223	1921
52	225	1905
53	228	1889
54	231	1876
55	234	1862
56	237	1847
57	240	1834
58	243	1822
59	246	1810
60	249	1798
61	253	1787
62	256	1776
63	259	1764
64	261	1752
65	264	1740
66	267	1730
67	270	1719
68	273	1709
69	276	1699
70	279	1689
71	282	1678
72	285	1668
73	288	1658
74	290	1646
75	293	1639
76	296	1630
77	299	1621
78	302	1613
79	305	1604
80	308	1595
81	311	1587
82	314	1578
83	317	1571
84	320	1563
85	323	1557
86	326	1549
87	329	1542
88	332	1534
89	335	1528
90	338	1521
91	341	1513
92	344	1507
93	347	1500
94	350	1493
95	353	1486
96	356	1480
97	359	1473
98	361	1465
99	365	1460
100	368	1454
101	371	1447
102	374	1442
103	377	1436
104	380	1431
105	383	1424
106	386	1418
107	389	1413
108	392	1406
109	395	1402
110	398	1395
111	401	1391
112	405	1389
113	408	1384
114	411	1378
115	414	1373
116	418	1368
117	421	1363
118	424	1358
119	427	1353
120	430	1348
121	433	1342
122	436	1337
123	439	1332
124	442	1327
125	445	1323
126	448	1317
127	451	1311
128	454	1306
129	458	1304
130	461	1300
131	464	1294
132	467	1289
133	470	1284
134	473	1279
135	476	1274
136	479	1269
137	482	1264
138	484	1259
139	487	1254
140	490	1248
141	493	1244
142	496	1239
143	499	1234
144	502	1229
145	505	1224
146	508	1220
147	511	1215
148	513	1209
149	516	1205
150	519	1201
151	522	1196
152	525	1192
153	528	1188
154	531	1183
155	534	1179
156	537	1174
157	540	1170
158	543	1166
159	546	1161
160	549	1157
161	552	1152
162	555	1147
163	557	1143
164	560	1138
165	563	1134
166	566	1129
167	569	1125
168	572	1120
169	575	1116
170	578	1112
171	581	1108
172	583	1103
173	586	1099
174	589	1095
175	592	1091
176	595	1086
177	598	1082
178	601	1078
179	604	1073
180	606	1069
181	609	1065
182	612	1061
183	615	1057
184	618	1053
185	621	1049
186	624	1045
187	627	1041
188	630	1037
189	633	1032
190	635	1028
191	638	1023
192	640	1019
193	643	1015
194	646	1011
195	649	1007
196	652	1003
197	655	999
198	657	995
199	660	991
200	663	987
201	666	983
202	669	979
203	672	975
204	675	972
205	679	969
206	682	965
207	685	962
208	688	958
209	691	954
210	694	950
211	696	946
212	700	943
213	702	939
214	706	935
215	708	932
216	712	928
217	715	925
218	718	921
219	721	918
220	724	914
221	727	910
222	730	907
223	733	903
224	736	899
225	738	895
226	741	892
227	744	888
228	747	884
229	749	879
230	752	875
231	754	872
232	757	868
233	760	864
234	763	861
235	766	857
236	769	853
237	772	850
238	775	846
239	777	842
240	780	839
241	783	835
242	786	831
243	788	827
244	791	823
245	794	820
246	797	817
247	800	813
248	803	809
249	806	806
250	809	802
251	811	798
252	814	794
253	816	791
254	819	787
255	822	783
256	825	780
257	827	776
258	830	773
259	833	769
260	836	766
261	839	762
262	843	759
263	845	756
264	848	752
265	851	748
266	854	745
267	857	741
268	860	738
269	862	735
270	865	731
271	868	727
272	871	724
273	874	720
274	876	717
275	879	713
276	882	710
277	885	707
278	888	704
279	891	700
280	894	696
281	896	693
282	899	689
283	902	686
284	905	683
285	908	679
286	911	676
287	914	673
288	917	669
289	920	666
290	922	662
291	925	659
292	928	656
293	931	652
294	934	649
295	937	646
296	940	642
297	943	639
298	946	636
299	949	632
300	951	629
301	955	626
302	958	623
303	961	619
304	964	616
305	967	613
306	970	609
307	973	606
308	976	603
309	979	600
310	982	597
311	985	593
312	988	590
313	991	587
314	995	584
315	997	581
316	1000	577
317	1003	574
318	1006	571
319	1008	567
320	1011	564
321	1015	561
322	1018	558
323	1021	554
324	1024	551
325	1028	548
326	1030	545
327	1033	542
328	1036	538
329	1039	535
330	1042	532
331	1045	528
332	1047	525
333	1050	522
334	1053	519
335	1056	515
336	1059	512
337	1063	509
338	1066	506
339	1068	503
340	1072	499
341	1075	497
342	1079	494
343	1083	491
344	1086	488
345	1089	484
346	1092	481
347	1096	478
348	1099	475
349	1102	472
350	1106	469
351	1109	466
352	1112	463
353	1115	460
354	1118	456
355	1121	453
356	1124	450
357	1127	447
358	1130	444
359	1133	440
360	1135	437
361	1138	433
362	1141	430
363	1143	427
364	1146	424
365	1149	420
366	1152	417
367	1155	414
368	1158	411
369	1160	407
370	1163	404
371	1166	401
372	1169	398
373	1172	394
374	1175	391
375	1178	388
376	1181	385
377	1183	382
378	1186	378
379	1189	375
380	1192	372
381	1195	369
382	1198	366
383	1201	362
384	1204	359
385	1206	356
386	1209	353
387	1212	350
388	1215	346
389	1218	343
390	1221	340
391	1224	337
392	1227	334
393	1230	330
394	1234	328
395	1237	324
396	1240	321
397	1243	318
398	1246	315
399	1249	312
400	1251	309
401	1254	305
402	1257	302
403	1261	299
404	1264	296
405	1267	293
406	1271	290
407	1274	287
