category_name,price,model,car_type,year,distance,gear_type,color,vehicle_type
Leapmotor,27800.0,C16,Другой,2024.0,0.0,Автоматическая,Зеленый,Гибрид
Leapmotor,25800.0,CO1 REEV,Седан,2025.0,0.0,Автоматическая,Черный,Гибрид
Leapmotor,28800.0,C16,Внедорожник,2025.0,0.0,Автоматическая,Черный,Гибрид
Leapmotor,22100.0,CO1 REEV,Седан,2024.0,0.0,Автоматическая,Хамелеон,Гибрид
Leapmotor,29000.0,C16,Хэтчбек,2024.0,0.0,Автоматическая,Белый,Гибрид
Leapmotor,28800.0,C16,Другой,2025.0,0.0,Автоматическая,Белый,Электро
Leapmotor,25800.0,CO1 EV,Седан,2025.0,0.0,Автоматическая,Голубой,Электро
Leapmotor,25800.0,CO1 EV,Седан,2025.0,0.0,Автоматическая,Белый,Электро
Leapmotor,25800.0,C10 EV,Другой,2025.0,0.0,Автоматическая,Зеленый,Электро
Leapmotor,27800.0,C16,Универсал,2024.0,0.0,Автоматическая,Черный,Гибрид
Leapmotor,33000.0,C16,Другой,2024.0,0.0,Автоматическая,Черный,Гибрид
Li,45200.0,L6,Внедорожник,2024.0,0.0,Автоматическая,Белый,Гибрид
Li,51000.0,L7,Внедорожник,2025.0,0.0,Автоматическая,Черный,Гибрид
Li,56000.0,L7,Внедорожник,2024.0,0.0,Автоматическая,Черный,Гибрид
Li,56400.0,L7,Другой,2025.0,0.0,Автоматическая,Черный,Гибрид
Li,57500.0,L9,Внедорожник,2024.0,28500.0,Автоматическая,Черный,Гибрид
Li,65700.0,L9,Внедорожник,2024.0,0.0,Автоматическая,Черный,Гибрид
Li,63500.0,L9,Кабриолет,2024.0,10200.0,Автоматическая,Асфальт,Бензин
Deepal,24600.0,,Седан,2024.0,0.0,Автоматическая,Асфальт,Гибрид
Deepal,23500.0,Deepal S7,Внедорожник,2023.0,20000.0,Автоматическая,Белый,Гибрид
Deepal,26700.0,Deepal S7,Универсал,2024.0,0.0,Автоматическая,Серый,Гибрид
Deepal,25800.0,Deepal S7,Универсал,2024.0,0.0,Автоматическая,Белый,Гибрид
Deepal,26200.0,,Другой,2024.0,0.0,Автоматическая,Белый,Гибрид
Deepal,31000.0,Deepal S7,Хэтчбек,2025.0,0.0,Автоматическая,Белый,Гибрид
Zeekr,46800.0,X,Внедорожник,2024.0,40.0,Автоматическая,Черный,Электро
Zeekr,130000.0,,Минивэн,2024.0,0.0,Автоматическая,Черный,Электро
Zeekr,43000.0,001,Седан,2024.0,0.0,Автоматическая,Апельсин,Электро
Chery,21500.0,Tiggo 7 Pro,Внедорожник,2023.0,21000.0,Автоматическая,Белый,Бензин
Chery,18500.0,ARRIZO 6 PRO,Седан,2023.0,10000.0,Автоматическая,Белый,Бензин
Audi,4000.0,80,Седан,1992.0,284670.0,Механическая,Серый,Бензин
Audi,11000.0,А4,Кабриолет,2000.0,190000.0,Механическая,Фиолетовый,Дизель
Audi,26000.0,А5,Седан,2010.0,135000.0,Автоматическая,Белый,Бензин
Audi,48000.0,А6,Седан,2023.0,6000.0,Автоматическая,Синий,Гибрид
Audi,10000.0,А8,Седан,1995.0,162000.0,Автоматическая,Черный,Бензин
Audi,75000.0,Q7,Внедорожник,2025.0,10.0,Автоматическая,Черный,Бензин
Audi,43000.0,Quattro,Седан,2020.0,14000.0,Автоматическая,Черный,Гибрид
Audi,80000.0,R8,Внедорожник,2025.0,50.0,Автоматическая,Черный,Бензин
Baic,12900.0,Другая,Хэтчбек,2024.0,1000.0,Автоматическая,Белый,Электро
Baic,18800.0,EU5,Седан,2024.0,0.0,Автоматическая,Белый,Бензин
BMW,23500.0,116,Хэтчбек,2021.0,24000.0,Автоматическая,Серый,Гибрид
BMW,45500.0,315,Внедорожник,2024.0,0.0,Автоматическая,Черный,Электро
BMW,8000.0,318,Седан,1992.0,29780.0,Автоматическая,Серебристый,Бензин
BMW,6600.0,318,Другой,1995.0,375000.0,Механическая,Серый,Газ/Бензин
BMW,35800.0,325,Седан,2023.0,0.0,Автоматическая,Серый,Электро
BMW,50000.0,335,Седан,2023.0,0.0,Автоматическая,Черный,Электро
BMW,9300.0,520,Седан,1996.0,485000.0,Механическая,Хамелеон,Бензин
BMW,9000.0,523,Седан,1996.0,423000.0,Механическая,Асфальт,Бензин
BMW,8000.0,525,Седан,1996.0,510000.0,Автоматическая,Серый,Газ/Бензин
BMW,27000.0,528,Универсал,2013.0,17000.0,Автоматическая,Белый,Бензин
BMW,37000.0,530,Седан,2022.0,14000.0,Автоматическая,Черный,Гибрид
BMW,4999.0,535,Седан,1989.0,233000.0,Механическая,Черный,Бензин
BMW,46000.0,540,Седан,2024.0,0.0,Автоматическая,Черный,Электро
BMW,159500.0,730,Внедорожник,2024.0,4500.0,Автоматическая,Черный,Бензин
BMW,40000.0,740,Седан,2009.0,156000.0,Автоматическая,Черный,Бензин
BMW,13500.0,745,Седан,2004.0,290000.0,Автоматическая,Синий,Бензин
BMW,33900.0,750,Седан,2008.0,158000.0,Автоматическая,Черный,Бензин
BMW,200000.0,760,Другой,2024.0,6000.0,Автоматическая,Черный,Бензин
BMW,66500.0,840,Седан,2024.0,7000.0,Автоматическая,Зеленый,Бензин
BMW,200000.0,850,Седан,2024.0,9000.0,Автоматическая,Серебристый,Бензин
BMW,7000.0,M3,Седан,1992.0,480000.0,Автоматическая,Черный,Газ/Бензин
BMW,142500.0,M3,Седан,2024.0,1200.0,Автоматическая,Черный,Бензин
BMW,57000.0,X1,Внедорожник,2023.0,0.0,Автоматическая,Синий,Электро
BMW,104900.0,X5 M,Внедорожник,2019.0,55000.0,Автоматическая,Белый,Бензин
BMW,212000.0,X5 M,Внедорожник,2025.0,0.0,Автоматическая,Черный,Бензин
BMW,70000.0,X5 M,Внедорожник,2022.0,26000.0,Автоматическая,Черный,Электро
BMW,209000.0,X5 M,Внедорожник,2025.0,1.0,Автоматическая,Черный,Бензин
BMW,212000.0,X5 M,Внедорожник,2025.0,0.0,Автоматическая,Черный,Бензин
BMW,61500.0,X5 M,Внедорожник,2019.0,100000.0,Автоматическая,Белый,Бензин
BMW,118500.0,X5 M,Другой,2024.0,21000.0,Автоматическая,Белый,Бензин
BMW,35600.0,X3,Внедорожник,2024.0,0.0,Автоматическая,Синий,Электро
BMW,41000.0,X3,Седан,2021.0,45000.0,Автоматическая,Белый,Бензин
BMW,29200.0,X3,Седан,2025.0,0.0,Автоматическая,Белый,Электро
BMW,40900.0,X3,Хэтчбек,2023.0,15000.0,Автоматическая,Черный,Электро
BMW,34500.0,X3,Другой,2021.0,54400.0,Автоматическая,Белый,Электро
BMW,59000.0,X3,Внедорожник,2023.0,0.0,Автоматическая,Синий,Электро
BMW,49500.0,X3,Другой,2024.0,0.0,Автоматическая,Синий,Электро
BMW,43000.0,X3,Внедорожник,2024.0,6600.0,Автоматическая,Синий,Электро
BMW,38900.0,X3,Внедорожник,2023.0,11000.0,Автоматическая,Белый,Электро
BMW,43000.0,X3,Другой,2024.0,13000.0,Другая,Черный,Электро
BMW,44000.0,X3,Хэтчбек,2024.0,100.0,Автоматическая,Белый,Электро
BMW,53000.0,X3,Другой,2024.0,0.0,Автоматическая,Белый,Электро
BMW,42000.0,X3,Внедорожник,2024.0,9000.0,Автоматическая,Черный,Электро
BMW,40000.0,X3,Внедорожник,2024.0,6600.0,Автоматическая,Синий,Электро
BMW,85000.0,X3,Внедорожник,2024.0,0.0,Автоматическая,Матовый,Электро
BMW,55000.0,X3,Другой,2024.0,0.0,Автоматическая,Черный,Электро
BMW,42800.0,X3,Другой,2024.0,0.0,Автоматическая,Черный,Электро
BMW,47000.0,X3,Универсал,2024.0,0.0,Другая,Черный,Электро
BMW,47500.0,X3,Внедорожник,2024.0,0.0,Автоматическая,Черный,Электро
BMW,38000.0,X3,Седан,2023.0,30000.0,Автоматическая,Черный,Электро
BMW,40000.0,X3,Другой,2023.0,15000.0,Автоматическая,Синий,Электро
BMW,52000.0,X3,Внедорожник,2024.0,0.0,Автоматическая,Белый,Электро
BMW,58000.0,X3,Внедорожник,2025.0,0.0,Автоматическая,Черный,Бензин
BMW,29700.0,X3,Седан,2024.0,0.0,Автоматическая,Черный,Электро
BMW,45600.0,X1,Хэтчбек,2024.0,0.0,Автоматическая,Белый,Электро
BMW,40000.0,X1,Внедорожник,2023.0,15000.0,Автоматическая,Черный,Электро
BMW,83000.0,X1,Купе,2024.0,0.0,Автоматическая,Серый,Электро
BMW,33800.0,X1,Внедорожник,2024.0,1000.0,Автоматическая,Белый,Электро
BMW,37000.0,X1,Универсал,2024.0,510.0,Автоматическая,Белый,Электро
BMW,36900.0,X1,Хэтчбек,2024.0,0.0,Другая,Белый,Электро
