iter	RMSE
0	3.584379714
1	3.567642784
2	3.552152276
3	3.538722116
4	3.525015803
5	3.511516084
6	3.500002245
7	3.489326613
8	3.479855266
9	3.470890346
10	3.462601608
11	3.45432214
12	3.44772979
13	3.440227239
14	3.434186004
15	3.429703452
16	3.424607923
17	3.419488266
18	3.414640173
19	3.409642424
20	3.405233897
21	3.400901383
22	3.396334407
23	3.392885629
24	3.389981025
25	3.386560667
26	3.381874205
27	3.378266229
28	3.375818916
29	3.37228679
30	3.36974419
31	3.366829246
32	3.364721759
33	3.362439049
34	3.359321837
35	3.356555823
36	3.353657614
37	3.351699214
38	3.350256451
39	3.348373473
40	3.346507576
41	3.34389732
42	3.341493088
43	3.338547415
44	3.336242635
45	3.334092604
46	3.332861434
47	3.330534642
48	3.329258128
49	3.326696543
50	3.325134537
51	3.322840427
52	3.321797834
53	3.32029055
54	3.317542481
55	3.316424403
56	3.315726849
57	3.314962082
58	3.313141737
59	3.311732041
60	3.310931932
61	3.309709322
62	3.308739502
63	3.307790137
64	3.305795773
65	3.304909552
66	3.303801786
67	3.302519088
68	3.301443378
69	3.300491633
70	3.29935648
71	3.298517431
72	3.298143304
73	3.297573224
74	3.296566192
75	3.295162501
76	3.29450288
77	3.29350637
78	3.292423596
79	3.291209817
80	3.290671675
81	3.290204906
82	3.288794972
83	3.287246958
84	3.286178837
85	3.285486332
86	3.283685903
87	3.282551055
88	3.281689614
89	3.280588106
90	3.279948559
91	3.278926544
92	3.277940779
93	3.277307347
94	3.276034488
95	3.274847046
96	3.274059112
97	3.271739811
98	3.27086598
99	3.270065147
100	3.269089539
101	3.268115771
102	3.267201031
103	3.266636073
104	3.26548011
105	3.264604778
106	3.264229911
107	3.263210311
108	3.262190384
109	3.261320631
110	3.260372604
111	3.259824577
112	3.259197911
113	3.258403438
114	3.257770064
115	3.257172938
116	3.256722049
117	3.255795747
118	3.255153507
119	3.25463509
120	3.254129885
121	3.253544044
122	3.253152911
123	3.252513927
124	3.251910949
125	3.251597066
126	3.25096216
127	3.250434362
128	3.250118638
129	3.249369181
130	3.248584785
131	3.248264885
132	3.247679299
133	3.246961551
134	3.246742336
135	3.246543514
136	3.24614592
137	3.245773973
138	3.244744686
139	3.244448392
140	3.243917727
141	3.24317738
142	3.242444914
143	3.24169841
144	3.241518419
145	3.24070005
146	3.239793113
147	3.239485559
148	3.239227589
149	3.238425915
150	3.237534163
151	3.237120503
152	3.236567847
153	3.235909225
154	3.235436065
155	3.234644305
156	3.233976927
157	3.233410392
158	3.232735376
159	3.232149945
160	3.231878508
161	3.230928045
162	3.230689871
163	3.23010935
164	3.229162133
165	3.228739672
166	3.227927821
